Q,A
실전경찰태권도의 정보를 조금 더 상세히 알려줘,"해당 시설의 상세 주소는 서울특별시 강동구 동남로81길 82이며, 해당 강좌는 주로 (1, 2, 4, 5, 6, 7, 8, 9)월에 개최하며, 가격은 110000원 입니다."
둔촌탁구교실의 정보를 조금 더 상세히 알려줘,"해당 시설의 상세 주소는 서울특별시 강동구 명일로 113이며, 해당 강좌는 주로 (1, 2, 3, 4, 5, 6, 7, 8)월에 개최하며, 가격은 110000원 입니다."
상일유도스쿨의 정보를 조금 더 상세히 알려줘,"해당 시설의 상세 주소는 서울특별시 강동구 상암로 425이며, 해당 강좌는 주로 (1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12)월에 개최하며, 가격은 110000원 입니다."
멘토태권키즈짐의 정보를 조금 더 상세히 알려줘,"해당 시설의 상세 주소는 서울특별시 강동구 상일로12길 99이며, 해당 강좌는 주로 (1, 2, 3, 4, 5, 6, 7, 8, 9)월에 개최하며, 가격은 110000원 입니다."
신창민 심리운동센터의 정보를 조금 더 상세히 알려줘,"해당 시설의 상세 주소는 서울특별시 강동구 성내로 19이며, 해당 강좌는 주로 (1, 2, 3, 4, 5, 6, 7, 8, 9)월에 개최하며, 가격은 110000원 입니다."
나우어린이수영의 정보를 조금 더 상세히 알려줘,"해당 시설의 상세 주소는 서울특별시 강동구 아리수로 427이며, 해당 강좌는 주로 (1, 2, 3, 5, 6, 7, 8, 9)월에 개최하며, 가격은 110000원 입니다."
짱키드짐의 정보를 조금 더 상세히 알려줘,"해당 시설의 상세 주소는 서울특별시 강동구 아리수로93나길 38이며, 해당 강좌는 주로 (3, 4, 5, 6, 7, 8, 9)월에 개최하며, 가격은 110000원 입니다."
강일 퍼스트 태권도장의 정보를 조금 더 상세히 알려줘,"해당 시설의 상세 주소는 서울특별시 강동구 아리수로93나길 50이며, 해당 강좌는 주로 (1, 2, 3, 4, 5, 6, 7, 8, 9)월에 개최하며, 가격은 110000원 입니다."
머슬비치짐의 정보를 조금 더 상세히 알려줘,"해당 시설의 상세 주소는 서울특별시 강동구 아리수로93나길 54이며, 해당 강좌는 주로 (1, 2, 3, 4, 5, 6, 7, 12)월에 개최하며, 가격은 110000원 입니다."
NK번지필라테스의 정보를 조금 더 상세히 알려줘,"해당 시설의 상세 주소는 서울특별시 강동구 아리수로93나길 60이며, 해당 강좌는 주로 (1, 2, 3, 4, 5, 6, 7, 8, 9)월에 개최하며, 가격은 110000원 입니다."
햇빛아동청소년발달센터의 정보를 조금 더 상세히 알려줘,"해당 시설의 상세 주소는 서울특별시 강동구 양재대로 1597이며, 해당 강좌는 주로 (1, 7)월에 개최하며, 가격은 110000원 입니다."
햇빛아동청소년발달센터의 정보를 조금 더 상세히 알려줘,"해당 시설의 상세 주소는 서울특별시 강동구 양재대로 1597이며, 해당 강좌는 주로 (1, 2, 3, 4, 5, 6, 7, 8, 9)월에 개최하며, 가격은 110000원 입니다."
햇빛아동청소년발달센터의 정보를 조금 더 상세히 알려줘,"해당 시설의 상세 주소는 서울특별시 강동구 양재대로 1597이며, 해당 강좌는 주로 (1, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12)월에 개최하며, 가격은 160000원 입니다."
뉴힐링라이프 재활운동센터 강동점의 정보를 조금 더 상세히 알려줘,"해당 시설의 상세 주소는 서울특별시 강동구 양재대로124길 32이며, 해당 강좌는 주로 (1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12)월에 개최하며, 가격은 110000원 입니다."
뉴힐링라이프 재활운동센터 강동점의 정보를 조금 더 상세히 알려줘,"해당 시설의 상세 주소는 서울특별시 강동구 양재대로124길 32이며, 해당 강좌는 주로 (1, 2, 3, 4, 5, 6, 7, 8, 9)월에 개최하며, 가격은 64000원 입니다."
뉴힐링라이프 재활운동센터 강동점의 정보를 조금 더 상세히 알려줘,"해당 시설의 상세 주소는 서울특별시 강동구 양재대로124길 32이며, 해당 강좌는 주로 (1, 2, 3, 4, 5, 6, 7, 8, 9)월에 개최하며, 가격은 110000원 입니다."
강동신화태권도장의 정보를 조금 더 상세히 알려줘,"해당 시설의 상세 주소는 서울특별시 강동구 천중로15가길 1이며, 해당 강좌는 주로 (1, 2, 3, 4, 5, 6, 7, 8, 9)월에 개최하며, 가격은 110000원 입니다."
원 탑 태권도의 정보를 조금 더 상세히 알려줘,"해당 시설의 상세 주소는 서울특별시 강동구 천중로17길 37이며, 해당 강좌는 주로 (1, 2, 3, 4, 5, 6, 7)월에 개최하며, 가격은 110000원 입니다."
한울림탁구클럽의 정보를 조금 더 상세히 알려줘,"해당 시설의 상세 주소는 서울특별시 강북구 도봉로 280이며, 해당 강좌는 주로 (3, 4, 5, 6, 7, 8, 9)월에 개최하며, 가격은 110000원 입니다."
(주)마이그라운드의 정보를 조금 더 상세히 알려줘,"해당 시설의 상세 주소는 서울특별시 강북구 도봉로 342이며, 해당 강좌는 주로 (6, 7, 8, 9)월에 개최하며, 가격은 110000원 입니다."
요가타운수유교육원의 정보를 조금 더 상세히 알려줘,"해당 시설의 상세 주소는 서울특별시 강북구 도봉로 353이며, 해당 강좌는 주로 (1, 2, 3, 4, 5, 6, 7, 8)월에 개최하며, 가격은 130000원 입니다."
리얼리티세븐댄스학원의 정보를 조금 더 상세히 알려줘,"해당 시설의 상세 주소는 서울특별시 강북구 도봉로13길 22이며, 해당 강좌는 주로 (6, 7, 8)월에 개최하며, 가격은 110000원 입니다."
드림유어바디의 정보를 조금 더 상세히 알려줘,"해당 시설의 상세 주소는 서울특별시 강북구 도봉로15길 11이며, 해당 강좌는 주로 (1, 2, 3, 4, 5, 6, 7, 8, 9)월에 개최하며, 가격은 110000원 입니다."
경희대석사체육관의 정보를 조금 더 상세히 알려줘,"해당 시설의 상세 주소는 서울특별시 강북구 삼양로100길 20이며, 해당 강좌는 주로 (1, 2, 3, 4, 5, 6, 7, 8, 9)월에 개최하며, 가격은 110000원 입니다."
바른걸음 심리놀이운동센터의 정보를 조금 더 상세히 알려줘,"해당 시설의 상세 주소는 서울특별시 강북구 삼양로139가길 43이며, 해당 강좌는 주로 (1, 2, 3, 4, 5, 6, 7, 8, 9)월에 개최하며, 가격은 110000원 입니다."
나라찬태권도의 정보를 조금 더 상세히 알려줘,"해당 시설의 상세 주소는 서울특별시 강북구 삼양로163길 14이며, 해당 강좌는 주로 (2, 3, 4, 5, 6, 7, 8, 9)월에 개최하며, 가격은 110000원 입니다."
씽크엘테니스의 정보를 조금 더 상세히 알려줘,"해당 시설의 상세 주소는 서울특별시 강북구 삼양로54길 92이며, 해당 강좌는 주로 (3, 4, 6, 7)월에 개최하며, 가격은 110000원 입니다."
한진 태권도 체육관의 정보를 조금 더 상세히 알려줘,"해당 시설의 상세 주소는 서울특별시 강북구 오현로 156이며, 해당 강좌는 주로 (7, 8)월에 개최하며, 가격은 110000원 입니다."
국심검도관(대무관)의 정보를 조금 더 상세히 알려줘,"해당 시설의 상세 주소는 서울특별시 강북구 월계로13길 7이며, 해당 강좌는 주로 (3, 4, 5, 6, 7, 9)월에 개최하며, 가격은 120000원 입니다."
백두산K타이거즈태권도의 정보를 조금 더 상세히 알려줘,"해당 시설의 상세 주소는 서울특별시 강북구 한천로105길 33이며, 해당 강좌는 주로 (1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11)월에 개최하며, 가격은 110000원 입니다."
해빛아동청소년발달센터의 정보를 조금 더 상세히 알려줘,"해당 시설의 상세 주소는 서울특별시 강서구 강서로 210이며, 해당 강좌는 주로 (1, 4, 5, 6, 7)월에 개최하며, 가격은 110000원 입니다."
커브스까치산클럽의 정보를 조금 더 상세히 알려줘,"해당 시설의 상세 주소는 서울특별시 강서구 강서로 36이며, 해당 강좌는 주로 (1, 2, 3, 4, 5, 6, 7, 8, 9)월에 개최하며, 가격은 110000원 입니다."
까치당구클럽의 정보를 조금 더 상세히 알려줘,"해당 시설의 상세 주소는 서울특별시 강서구 강서로18나길 1이며, 해당 강좌는 주로 (1, 2, 3, 4, 5, 6, 7, 8)월에 개최하며, 가격은 110000원 입니다."
위키즈아동운동발달센터의 정보를 조금 더 상세히 알려줘,"해당 시설의 상세 주소는 서울특별시 강서구 공항대로 103이며, 해당 강좌는 주로 (1, 2, 3, 4, 5, 6, 7, 8, 9, 10)월에 개최하며, 가격은 110000원 입니다."
레드복싱클럽의 정보를 조금 더 상세히 알려줘,"해당 시설의 상세 주소는 서울특별시 강서구 공항대로 290이며, 해당 강좌는 주로 (1, 2, 3, 4, 6, 7, 8)월에 개최하며, 가격은 110000원 입니다."
디어필라테스의 정보를 조금 더 상세히 알려줘,"해당 시설의 상세 주소는 서울특별시 강서구 공항대로 38-4이며, 해당 강좌는 주로 (1, 2, 3, 4, 5, 6, 7, 8, 9)월에 개최하며, 가격은 110000원 입니다."
디어필라테스의 정보를 조금 더 상세히 알려줘,"해당 시설의 상세 주소는 서울특별시 강서구 공항대로 38-4이며, 해당 강좌는 주로 (1, 2, 3, 4, 5, 6, 7, 8, 9)월에 개최하며, 가격은 70000원 입니다."
맘결아동발달센터의 정보를 조금 더 상세히 알려줘,"해당 시설의 상세 주소는 서울특별시 강서구 마곡중앙1로 72이며, 해당 강좌는 주로 (1, 2, 3, 4, 7, 8, 9)월에 개최하며, 가격은 110000원 입니다."
이룸케어재활운동센터의 정보를 조금 더 상세히 알려줘,"해당 시설의 상세 주소는 서울특별시 강서구 마곡중앙1로 72이며, 해당 강좌는 주로 (1, 2, 3, 4, 5, 6, 7, 10, 11, 12)월에 개최하며, 가격은 110000원 입니다."
문성길복싱클럽의 정보를 조금 더 상세히 알려줘,"해당 시설의 상세 주소는 서울특별시 강서구 양천로 104이며, 해당 강좌는 주로 (1, 2, 3, 4, 5, 6, 7, 8)월에 개최하며, 가격은 110000원 입니다."
세계복싱체육관의 정보를 조금 더 상세히 알려줘,"해당 시설의 상세 주소는 서울특별시 강서구 양천로69길 11이며, 해당 강좌는 주로 (1, 2, 3, 4, 5, 6, 7, 8, 9, 10)월에 개최하며, 가격은 110000원 입니다."
기쁜우리체육센터의 정보를 조금 더 상세히 알려줘,"해당 시설의 상세 주소는 서울특별시 강서구 허준로 65 (가양동, 기쁜우리복지관,체육센터)이며, 해당 강좌는 주로 (6, 7)월에 개최하며, 가격은 320000원 입니다."
기쁜우리체육센터의 정보를 조금 더 상세히 알려줘,"해당 시설의 상세 주소는 서울특별시 강서구 허준로 65 (가양동, 기쁜우리복지관,체육센터)이며, 해당 강좌는 주로 (1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11)월에 개최하며, 가격은 116000원 입니다."
기쁜우리체육센터의 정보를 조금 더 상세히 알려줘,"해당 시설의 상세 주소는 서울특별시 강서구 허준로 65 (가양동, 기쁜우리복지관,체육센터)이며, 해당 강좌는 주로 (1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11)월에 개최하며, 가격은 96000원 입니다."
기쁜우리체육센터의 정보를 조금 더 상세히 알려줘,"해당 시설의 상세 주소는 서울특별시 강서구 허준로 65 (가양동, 기쁜우리복지관,체육센터)이며, 해당 강좌는 주로 (1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11)월에 개최하며, 가격은 70000원 입니다."
기쁜우리체육센터의 정보를 조금 더 상세히 알려줘,"해당 시설의 상세 주소는 서울특별시 강서구 허준로 65 (가양동, 기쁜우리복지관,체육센터)이며, 해당 강좌는 주로 (1, 2, 3, 4, 5, 6, 7, 8)월에 개최하며, 가격은 240000원 입니다."
기쁜우리체육센터의 정보를 조금 더 상세히 알려줘,"해당 시설의 상세 주소는 서울특별시 강서구 허준로 65 (가양동, 기쁜우리복지관,체육센터)이며, 해당 강좌는 주로 (1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11)월에 개최하며, 가격은 70000원 입니다."
기쁜우리체육센터의 정보를 조금 더 상세히 알려줘,"해당 시설의 상세 주소는 서울특별시 강서구 허준로 65 (가양동, 기쁜우리복지관,체육센터)이며, 해당 강좌는 주로 (7, 8)월에 개최하며, 가격은 94000원 입니다."
기쁜우리체육센터의 정보를 조금 더 상세히 알려줘,"해당 시설의 상세 주소는 서울특별시 강서구 허준로 65 (가양동, 기쁜우리복지관,체육센터)이며, 해당 강좌는 주로 (1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11)월에 개최하며, 가격은 60000원 입니다."
기쁜우리체육센터의 정보를 조금 더 상세히 알려줘,"해당 시설의 상세 주소는 서울특별시 강서구 허준로 65 (가양동, 기쁜우리복지관,체육센터)이며, 해당 강좌는 주로 (1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11)월에 개최하며, 가격은 40000원 입니다."
기쁜우리체육센터의 정보를 조금 더 상세히 알려줘,"해당 시설의 상세 주소는 서울특별시 강서구 허준로 65 (가양동, 기쁜우리복지관,체육센터)이며, 해당 강좌는 주로 (3, 4, 5, 6, 7, 8)월에 개최하며, 가격은 30000원 입니다."
기쁜우리체육센터의 정보를 조금 더 상세히 알려줘,"해당 시설의 상세 주소는 서울특별시 강서구 허준로 65 (가양동, 기쁜우리복지관,체육센터)이며, 해당 강좌는 주로 (1, 2, 3, 4, 5, 6, 7, 8, 9, 11)월에 개최하며, 가격은 68000원 입니다."
기쁜우리체육센터의 정보를 조금 더 상세히 알려줘,"해당 시설의 상세 주소는 서울특별시 강서구 허준로 65 (가양동, 기쁜우리복지관,체육센터)이며, 해당 강좌는 주로 (1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11)월에 개최하며, 가격은 80000원 입니다."
기쁜우리체육센터의 정보를 조금 더 상세히 알려줘,"해당 시설의 상세 주소는 서울특별시 강서구 허준로 65 (가양동, 기쁜우리복지관,체육센터)이며, 해당 강좌는 주로 (1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11)월에 개최하며, 가격은 104000원 입니다."
기쁜우리체육센터의 정보를 조금 더 상세히 알려줘,"해당 시설의 상세 주소는 서울특별시 강서구 허준로 65 (가양동, 기쁜우리복지관,체육센터)이며, 해당 강좌는 주로 (1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11)월에 개최하며, 가격은 60000원 입니다."
기쁜우리체육센터의 정보를 조금 더 상세히 알려줘,"해당 시설의 상세 주소는 서울특별시 강서구 허준로 65 (가양동, 기쁜우리복지관,체육센터)이며, 해당 강좌는 주로 (1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11)월에 개최하며, 가격은 48000원 입니다."
강서구민올림픽체육센터의 정보를 조금 더 상세히 알려줘,"해당 시설의 상세 주소는 서울특별시 강서구 화곡로65길 62이며, 해당 강좌는 주로 (6, 7)월에 개최하며, 가격은 32100원 입니다."
경희대 박병호 태권도의 정보를 조금 더 상세히 알려줘,"해당 시설의 상세 주소는 서울특별시 관악구 국회단지길 7이며, 해당 강좌는 주로 (3, 4, 5, 6, 7, 8, 9, 10)월에 개최하며, 가격은 110000원 입니다."
홍짐(hong gym)의 정보를 조금 더 상세히 알려줘,"해당 시설의 상세 주소는 서울특별시 관악구 난곡로 100이며, 해당 강좌는 주로 (1, 6, 7, 8)월에 개최하며, 가격은 110000원 입니다."
룩스필라테스 봉천점의 정보를 조금 더 상세히 알려줘,"해당 시설의 상세 주소는 서울특별시 관악구 남부순환로 1724이며, 해당 강좌는 주로 (1, 2, 4, 5, 6, 7, 8)월에 개최하며, 가격은 110000원 입니다."
금강태권도의 정보를 조금 더 상세히 알려줘,"해당 시설의 상세 주소는 서울특별시 관악구 남부순환로151길 41이며, 해당 강좌는 주로 (5, 6, 7, 9)월에 개최하며, 가격은 150000원 입니다."
에이블키즈의 정보를 조금 더 상세히 알려줘,"해당 시설의 상세 주소는 서울특별시 관악구 남부순환로218길 27이며, 해당 강좌는 주로 (1, 2, 3, 4, 5, 6, 7, 8, 9)월에 개최하며, 가격은 110000원 입니다."
보답아동발달센터의 정보를 조금 더 상세히 알려줘,"해당 시설의 상세 주소는 서울특별시 관악구 보라매로 21이며, 해당 강좌는 주로 (1, 2, 3, 4, 5, 6, 7, 8, 9)월에 개최하며, 가격은 70000원 입니다."
보답아동발달센터의 정보를 조금 더 상세히 알려줘,"해당 시설의 상세 주소는 서울특별시 관악구 보라매로 21이며, 해당 강좌는 주로 (2, 3, 6, 7, 8, 11)월에 개최하며, 가격은 30000원 입니다."
보답아동발달센터의 정보를 조금 더 상세히 알려줘,"해당 시설의 상세 주소는 서울특별시 관악구 보라매로 21이며, 해당 강좌는 주로 (1, 2, 3, 4, 5, 6, 7, 8, 9)월에 개최하며, 가격은 40000원 입니다."
보답아동발달센터의 정보를 조금 더 상세히 알려줘,"해당 시설의 상세 주소는 서울특별시 관악구 보라매로 21이며, 해당 강좌는 주로 (1, 2, 4, 5, 6, 7, 8, 9)월에 개최하며, 가격은 50000원 입니다."
보답아동발달센터의 정보를 조금 더 상세히 알려줘,"해당 시설의 상세 주소는 서울특별시 관악구 보라매로 21이며, 해당 강좌는 주로 (1, 4, 5, 6, 7, 8, 9)월에 개최하며, 가격은 60000원 입니다."
제일아이캔태권도장의 정보를 조금 더 상세히 알려줘,"해당 시설의 상세 주소는 서울특별시 관악구 신림로 129이며, 해당 강좌는 주로 (5, 6, 7, 8, 9)월에 개최하며, 가격은 110000원 입니다."
점핑 다이어트의 정보를 조금 더 상세히 알려줘,"해당 시설의 상세 주소는 서울특별시 관악구 신림로17길 53이며, 해당 강좌는 주로 (1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12)월에 개최하며, 가격은 110000원 입니다."
옳은필라테스의 정보를 조금 더 상세히 알려줘,"해당 시설의 상세 주소는 서울특별시 관악구 양녕로 30이며, 해당 강좌는 주로 (7, 8, 9)월에 개최하며, 가격은 110000원 입니다."
경희대 석사 현대 태권도의 정보를 조금 더 상세히 알려줘,"해당 시설의 상세 주소는 서울특별시 관악구 은천로 93이며, 해당 강좌는 주로 (1, 2, 3, 4, 5, 6, 7, 8)월에 개최하며, 가격은 110000원 입니다."
글로벌태권스쿨의 정보를 조금 더 상세히 알려줘,"해당 시설의 상세 주소는 서울특별시 관악구 조원로 128이며, 해당 강좌는 주로 (5, 6, 7)월에 개최하며, 가격은 110000원 입니다."
점핑 다이어트 조원점의 정보를 조금 더 상세히 알려줘,"해당 시설의 상세 주소는 서울특별시 관악구 조원중앙로 50이며, 해당 강좌는 주로 (1, 2, 3, 4, 5, 6, 7)월에 개최하며, 가격은 110000원 입니다."
정립회관의 정보를 조금 더 상세히 알려줘,"해당 시설의 상세 주소는 서울 광진구 워커힐로 93이며, 해당 강좌는 주로 (7, 8)월에 개최하며, 가격은 10000원 입니다."
경희대강한친구들의 정보를 조금 더 상세히 알려줘,"해당 시설의 상세 주소는 서울특별시 광진구 광나루로56길 34이며, 해당 강좌는 주로 (6, 7, 8, 9)월에 개최하며, 가격은 110000원 입니다."
군자복싱다이어트의 정보를 조금 더 상세히 알려줘,"해당 시설의 상세 주소는 서울특별시 광진구 능동로 267이며, 해당 강좌는 주로 (5, 6, 7, 8, 9)월에 개최하며, 가격은 110000원 입니다."
아이엔요가 앤 필라테스 자양점의 정보를 조금 더 상세히 알려줘,"해당 시설의 상세 주소는 서울특별시 광진구 뚝섬로 613이며, 해당 강좌는 주로 (7, 8)월에 개최하며, 가격은 110000원 입니다."
건대탁구클럽의 정보를 조금 더 상세히 알려줘,"해당 시설의 상세 주소는 서울특별시 광진구 아차산로 324이며, 해당 강좌는 주로 (2, 3, 4, 5, 6, 7, 8, 9)월에 개최하며, 가격은 110000원 입니다."
삼손스포츠수기명가의 정보를 조금 더 상세히 알려줘,"해당 시설의 상세 주소는 서울특별시 광진구 아차산로65길 14이며, 해당 강좌는 주로 (1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12)월에 개최하며, 가격은 110000원 입니다."
카이로스의 정보를 조금 더 상세히 알려줘,"해당 시설의 상세 주소는 서울특별시 광진구 용마산로 45이며, 해당 강좌는 주로 (1, 6, 7, 8)월에 개최하며, 가격은 110000원 입니다."
따숨의 정보를 조금 더 상세히 알려줘,"해당 시설의 상세 주소는 서울특별시 광진구 자양로 284이며, 해당 강좌는 주로 (3, 4, 5, 6, 7, 8, 9)월에 개최하며, 가격은 150000원 입니다."
아트스테이무용학원의 정보를 조금 더 상세히 알려줘,"해당 시설의 상세 주소는 서울특별시 광진구 천호대로 805이며, 해당 강좌는 주로 (5, 6, 7, 8, 9)월에 개최하며, 가격은 110000원 입니다."
한국그룹운동개발원의 정보를 조금 더 상세히 알려줘,"해당 시설의 상세 주소는 서울특별시 구로구 경서로 11이며, 해당 강좌는 주로 (1, 2, 3, 4, 5, 6, 7, 8, 9)월에 개최하며, 가격은 110000원 입니다."
(주)HSSA 서울한영대점의 정보를 조금 더 상세히 알려줘,"해당 시설의 상세 주소는 서울특별시 구로구 경인로 290-42이며, 해당 강좌는 주로 (1, 2, 6, 7)월에 개최하며, 가격은 110000원 입니다."
주식회사 에이치에스 우리사회서비스센터의 정보를 조금 더 상세히 알려줘,"해당 시설의 상세 주소는 서울특별시 구로구 경인로 290-42이며, 해당 강좌는 주로 (1, 2, 6, 7)월에 개최하며, 가격은 110000원 입니다."
팀제이짐의 정보를 조금 더 상세히 알려줘,"해당 시설의 상세 주소는 서울특별시 구로구 경인로20가길 11이며, 해당 강좌는 주로 (4, 5, 6, 7, 8, 9)월에 개최하며, 가격은 110000원 입니다."
해뜰탁구장의 정보를 조금 더 상세히 알려줘,"해당 시설의 상세 주소는 서울특별시 구로구 경인로47길 45이며, 해당 강좌는 주로 (1, 5, 6, 7, 8, 9, 10, 11, 12)월에 개최하며, 가격은 110000원 입니다."
패트릭스아웃컴 고척점의 정보를 조금 더 상세히 알려줘,"해당 시설의 상세 주소는 서울특별시 구로구 고척로 239이며, 해당 강좌는 주로 (5, 6, 7)월에 개최하며, 가격은 110000원 입니다."
행복한백호태권도의 정보를 조금 더 상세히 알려줘,"해당 시설의 상세 주소는 서울특별시 구로구 고척로21나길 42이며, 해당 강좌는 주로 (6, 7, 8)월에 개최하며, 가격은 130000원 입니다."
혁짐의 정보를 조금 더 상세히 알려줘,"해당 시설의 상세 주소는 서울특별시 구로구 서해안로 2108이며, 해당 강좌는 주로 (7)월에 개최하며, 가격은 110000원 입니다."
코리아 탑클래스태권도의 정보를 조금 더 상세히 알려줘,"해당 시설의 상세 주소는 서울특별시 구로구 서해안로 2293이며, 해당 강좌는 주로 (1, 2, 3, 4, 5, 6, 7, 8)월에 개최하며, 가격은 110000원 입니다."
우리들언어체육발달센터의 정보를 조금 더 상세히 알려줘,"해당 시설의 상세 주소는 서울특별시 구로구 오리로 1298이며, 해당 강좌는 주로 (1, 2, 6, 7, 8)월에 개최하며, 가격은 110000원 입니다."
더본필라테스의 정보를 조금 더 상세히 알려줘,"해당 시설의 상세 주소는 서울특별시 구로구 천왕로 36이며, 해당 강좌는 주로 (2, 3, 4, 5, 6, 7, 8, 9)월에 개최하며, 가격은 110000원 입니다."
하늘체육관의 정보를 조금 더 상세히 알려줘,"해당 시설의 상세 주소는 서울특별시 금천구 금하로24길 45이며, 해당 강좌는 주로 (7, 8, 9)월에 개최하며, 가격은 110000원 입니다."
금천검도관의 정보를 조금 더 상세히 알려줘,"해당 시설의 상세 주소는 서울특별시 금천구 독산로 303이며, 해당 강좌는 주로 (1, 2, 3, 4, 5, 6, 7, 8, 9)월에 개최하며, 가격은 110000원 입니다."
열매점핑허브다이어트의 정보를 조금 더 상세히 알려줘,"해당 시설의 상세 주소는 서울특별시 금천구 독산로40길 49이며, 해당 강좌는 주로 (1, 2, 3, 4, 5, 6, 7, 8, 9, 12)월에 개최하며, 가격은 110000원 입니다."
열매점핑허브다이어트의 정보를 조금 더 상세히 알려줘,"해당 시설의 상세 주소는 서울특별시 금천구 독산로40길 49이며, 해당 강좌는 주로 (7)월에 개최하며, 가격은 110000원 입니다."
열매점핑허브다이어트의 정보를 조금 더 상세히 알려줘,"해당 시설의 상세 주소는 서울특별시 금천구 독산로40길 49이며, 해당 강좌는 주로 (7, 8, 9)월에 개최하며, 가격은 110000원 입니다."
금천구민문화체육센터의 정보를 조금 더 상세히 알려줘,"해당 시설의 상세 주소는 서울특별시 금천구 독산로54길 188이며, 해당 강좌는 주로 (6, 7, 8)월에 개최하며, 가격은 42000원 입니다."
금천구민문화체육센터의 정보를 조금 더 상세히 알려줘,"해당 시설의 상세 주소는 서울특별시 금천구 독산로54길 188이며, 해당 강좌는 주로 (3, 6, 7, 8)월에 개최하며, 가격은 21000원 입니다."
팩토리짐독산점의 정보를 조금 더 상세히 알려줘,"해당 시설의 상세 주소는 서울특별시 금천구 두산로 70이며, 해당 강좌는 주로 (1, 6, 7, 8, 9)월에 개최하며, 가격은 110000원 입니다."
팩토리짐의 정보를 조금 더 상세히 알려줘,"해당 시설의 상세 주소는 서울특별시 금천구 두산로 70이며, 해당 강좌는 주로 (1, 6, 7, 8, 9)월에 개최하며, 가격은 110000원 입니다."
아이펀의 정보를 조금 더 상세히 알려줘,"해당 시설의 상세 주소는 서울특별시 금천구 벚꽃로 30이며, 해당 강좌는 주로 (7, 8, 9)월에 개최하며, 가격은 160000원 입니다."
한국체대 정진태권도의 정보를 조금 더 상세히 알려줘,"해당 시설의 상세 주소는 서울특별시 금천구 벚꽃로 73이며, 해당 강좌는 주로 (7, 9)월에 개최하며, 가격은 110000원 입니다."
에스-바디워크 필라테스 금천의 정보를 조금 더 상세히 알려줘,"해당 시설의 상세 주소는 서울특별시 금천구 시흥대로 224이며, 해당 강좌는 주로 (7)월에 개최하며, 가격은 110000원 입니다."
위너스스포츠센터의 정보를 조금 더 상세히 알려줘,"해당 시설의 상세 주소는 서울특별시 금천구 시흥대로 296이며, 해당 강좌는 주로 (1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 12)월에 개최하며, 가격은 110000원 입니다."
코끼리아동청소년발달센터의 정보를 조금 더 상세히 알려줘,"해당 시설의 상세 주소는 서울특별시 금천구 시흥대로 399이며, 해당 강좌는 주로 (1, 6, 7, 8, 9)월에 개최하며, 가격은 110000원 입니다."
금천장애인종합복지관의 정보를 조금 더 상세히 알려줘,"해당 시설의 상세 주소는 서울특별시 금천구 시흥대로101길 17이며, 해당 강좌는 주로 (2, 3, 4, 5, 6, 7)월에 개최하며, 가격은 40000원 입니다."
금천장애인종합복지관의 정보를 조금 더 상세히 알려줘,"해당 시설의 상세 주소는 서울특별시 금천구 시흥대로101길 17이며, 해당 강좌는 주로 (2, 3, 4, 5, 6, 7, 9)월에 개최하며, 가격은 40000원 입니다."
금천장애인종합복지관의 정보를 조금 더 상세히 알려줘,"해당 시설의 상세 주소는 서울특별시 금천구 시흥대로101길 17이며, 해당 강좌는 주로 (3, 4, 5, 6, 7)월에 개최하며, 가격은 40000원 입니다."
화랑체육관의 정보를 조금 더 상세히 알려줘,"해당 시설의 상세 주소는 서울특별시 금천구 시흥대로20길 13이며, 해당 강좌는 주로 (7, 8, 9, 10)월에 개최하며, 가격은 110000원 입니다."
용인대 효 태권도의 정보를 조금 더 상세히 알려줘,"해당 시설의 상세 주소는 서울특별시 금천구 시흥대로68길 58이며, 해당 강좌는 주로 (7, 8, 9)월에 개최하며, 가격은 110000원 입니다."
금천구청(금나래문화체육센터)의 정보를 조금 더 상세히 알려줘,"해당 시설의 상세 주소는 서울특별시 금천구 시흥대로79길 32이며, 해당 강좌는 주로 (2, 3, 4, 5, 6, 7, 11, 12)월에 개최하며, 가격은 24000원 입니다."
한누리고려대중태권도장의 정보를 조금 더 상세히 알려줘,"해당 시설의 상세 주소는 서울특별시 금천구 탑골로 30이며, 해당 강좌는 주로 (2, 3, 4, 5, 6, 7)월에 개최하며, 가격은 110000원 입니다."
