정보,위치주소,시설이름,우편번호,주소,종목명,상세종목,가격,월,개최월,년도
"경기 성남시에 있는 체육시설의 상세 주소는 경기도 성남시 분당구 야탑로 32 (주)꿈자라다으로, 우편번호가 13522이고, 이용 가능한 종목은 기타종목입니다. 제공하는 강좌의 강좌명은 특수체육이며, 강좌는 (1, 2, 3, 4, 5, 6, 7, 8, 9)월에 개최되며, 가격은 110000원입니다. ",경기 성남시,(주)꿈자라다,13522,경기도 성남시 분당구 야탑로 32,기타종목,특수체육,110000,7,"(1, 2, 3, 4, 5, 6, 7, 8, 9)",2024
"경기 성남시에 있는 체육시설의 상세 주소는 경기도 성남시 분당구 장미로 86 필라테스인라이프으로, 우편번호가 13506이고, 이용 가능한 종목은 필라테스입니다. 제공하는 강좌의 강좌명은 필라테스이며, 강좌는 (7, 8, 9)월에 개최되며, 가격은 110000원입니다. ",경기 성남시,필라테스인라이프,13506,경기도 성남시 분당구 장미로 86,필라테스,필라테스,110000,7,"(7, 8, 9)",2024
"경기 성남시에 있는 체육시설의 상세 주소는 경기도 성남시 분당구 장안로 31 에이블운동발달센터으로, 우편번호가 13583이고, 이용 가능한 종목은 기타종목입니다. 제공하는 강좌의 강좌명은 특수체육 및 심리운동이며, 강좌는 (1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11)월에 개최되며, 가격은 110000원입니다. ",경기 성남시,에이블운동발달센터,13583,경기도 성남시 분당구 장안로 31,기타종목,특수체육 및 심리운동,110000,7,"(1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11)",2024
"경기 성남시에 있는 체육시설의 상세 주소는 경기도 성남시 분당구 장안로 31 에이블운동발달센터으로, 우편번호가 13583이고, 이용 가능한 종목은 기타종목입니다. 제공하는 강좌의 강좌명은 특수체육 및 심리운동이며, 강좌는 (1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11)월에 개최되며, 가격은 135000원입니다. ",경기 성남시,에이블운동발달센터,13583,경기도 성남시 분당구 장안로 31,기타종목,특수체육 및 심리운동,135000,7,"(1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11)",2024
"경기 성남시에 있는 체육시설의 상세 주소는 경기도 성남시 분당구 장안로 31 에이블운동발달센터으로, 우편번호가 13583이고, 이용 가능한 종목은 기타종목입니다. 제공하는 강좌의 강좌명은 특수체육 및 심리운동이며, 강좌는 (1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11)월에 개최되며, 가격은 225000원입니다. ",경기 성남시,에이블운동발달센터,13583,경기도 성남시 분당구 장안로 31,기타종목,특수체육 및 심리운동,225000,7,"(1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11)",2024
"경기 성남시에 있는 체육시설의 상세 주소는 경기도 성남시 분당구 정자일로 162 노상혁FTC으로, 우편번호가 13558이고, 이용 가능한 종목은 헬스입니다. 제공하는 강좌의 강좌명은 뇌졸중 재활 운동 2(월 2회)이며, 강좌는 (1, 2, 3, 4, 5, 6, 7, 8, 9)월에 개최되며, 가격은 140000원입니다. ",경기 성남시,노상혁FTC,13558,경기도 성남시 분당구 정자일로 162,헬스,뇌졸중 재활 운동 2(월 2회),140000,7,"(1, 2, 3, 4, 5, 6, 7, 8, 9)",2024
"경기 성남시에 있는 체육시설의 상세 주소는 경기도 성남시 분당구 정자일로 162 노상혁FTC으로, 우편번호가 13558이고, 이용 가능한 종목은 헬스입니다. 제공하는 강좌의 강좌명은 체형교정, 관절 수술 후 운동(월 2회)이며, 강좌는 (1, 2, 3, 4, 5, 6, 7, 8)월에 개최되며, 가격은 130000원입니다. ",경기 성남시,노상혁FTC,13558,경기도 성남시 분당구 정자일로 162,헬스,"체형교정, 관절 수술 후 운동(월 2회)",130000,7,"(1, 2, 3, 4, 5, 6, 7, 8)",2024
"경기 성남시에 있는 체육시설의 상세 주소는 경기도 성남시 분당구 정자일로 162 노상혁FTC으로, 우편번호가 13558이고, 이용 가능한 종목은 헬스입니다. 제공하는 강좌의 강좌명은 파킨슨 증후군 재활운동(월 2회)이며, 강좌는 (6, 7, 8)월에 개최되며, 가격은 110000원입니다. ",경기 성남시,노상혁FTC,13558,경기도 성남시 분당구 정자일로 162,헬스,파킨슨 증후군 재활운동(월 2회),110000,7,"(6, 7, 8)",2024
"경기 성남시에 있는 체육시설의 상세 주소는 경기도 성남시 분당구 정자일로 55 하움필라테스미금점평생교육원으로, 우편번호가 13613이고, 이용 가능한 종목은 필라테스입니다. 제공하는 강좌의 강좌명은 필라테스이며, 강좌는 (6, 7, 8, 9)월에 개최되며, 가격은 110000원입니다. ",경기 성남시,하움필라테스미금점평생교육원,13613,경기도 성남시 분당구 정자일로 55,필라테스,필라테스,110000,7,"(6, 7, 8, 9)",2024
"경기 성남시에 있는 체육시설의 상세 주소는 경기도 성남시 수정구 남문로 65 특공무술드림체육관으로, 우편번호가 13300이고, 이용 가능한 종목은 기타종목입니다. 제공하는 강좌의 강좌명은 드림마샬아츠멀티짐이며, 강좌는 (3, 7, 8)월에 개최되며, 가격은 110000원입니다. ",경기 성남시,특공무술드림체육관,13300,경기도 성남시 수정구 남문로 65,기타종목,드림마샬아츠멀티짐,110000,7,"(3, 7, 8)",2024
"경기 성남시에 있는 체육시설의 상세 주소는 경기도 성남시 수정구 사송로 60 그린축구운동발달센터으로, 우편번호가 13446이고, 이용 가능한 종목은 축구(풋살)입니다. 제공하는 강좌의 강좌명은 축구이며, 강좌는 (1, 2, 3, 4, 5, 6, 7, 8, 9, 10)월에 개최되며, 가격은 110000원입니다. ",경기 성남시,그린축구운동발달센터,13446,경기도 성남시 수정구 사송로 60,축구(풋살),축구,110000,7,"(1, 2, 3, 4, 5, 6, 7, 8, 9, 10)",2024
"경기 성남시에 있는 체육시설의 상세 주소는 경기도 성남시 수정구 산성대로 419 지티 복싱(GT BOXING)으로, 우편번호가 13144이고, 이용 가능한 종목은 복싱입니다. 제공하는 강좌의 강좌명은 복싱이며, 강좌는 (6, 7, 8, 9)월에 개최되며, 가격은 110000원입니다. ",경기 성남시,지티 복싱(GT BOXING),13144,경기도 성남시 수정구 산성대로 419,복싱,복싱,110000,7,"(6, 7, 8, 9)",2024
"경기 성남시에 있는 체육시설의 상세 주소는 경기도 성남시 수정구 산성대로269번길 8 글로벌스포츠(탁구교실)으로, 우편번호가 13353이고, 이용 가능한 종목은 탁구입니다. 제공하는 강좌의 강좌명은 탁구교실이며, 강좌는 (1, 2, 3, 4, 5, 6, 7, 8, 9)월에 개최되며, 가격은 110000원입니다. ",경기 성남시,글로벌스포츠(탁구교실),13353,경기도 성남시 수정구 산성대로269번길 8,탁구,탁구교실,110000,7,"(1, 2, 3, 4, 5, 6, 7, 8, 9)",2024
"경기 성남시에 있는 체육시설의 상세 주소는 경기도 성남시 수정구 성남대로1263번길 11 한결같이 요가원으로, 우편번호가 13111이고, 이용 가능한 종목은 요가입니다. 제공하는 강좌의 강좌명은 하타요가이며, 강좌는 (1, 5, 6, 7, 8)월에 개최되며, 가격은 110000원입니다. ",경기 성남시,한결같이 요가원,13111,경기도 성남시 수정구 성남대로1263번길 11,요가,하타요가,110000,7,"(1, 5, 6, 7, 8)",2024
"경기 성남시에 있는 체육시설의 상세 주소는 경기도 성남시 수정구 수정로 115-1 옥상달빛 풋살장으로, 우편번호가 13305이고, 이용 가능한 종목은 기타종목입니다. 제공하는 강좌의 강좌명은 2024 뉴스포츠이며, 강좌는 (1, 2, 3, 4, 5, 6, 7, 8, 9)월에 개최되며, 가격은 110000원입니다. ",경기 성남시,옥상달빛 풋살장,13305,경기도 성남시 수정구 수정로 115-1,기타종목,2024 뉴스포츠,110000,7,"(1, 2, 3, 4, 5, 6, 7, 8, 9)",2024
"경기 성남시에 있는 체육시설의 상세 주소는 경기도 성남시 수정구 수정로 339 휘트니스플레이스산성역점으로, 우편번호가 13260이고, 이용 가능한 종목은 헬스입니다. 제공하는 강좌의 강좌명은 헬스장,운동복 이용권이며, 강좌는 (6, 7, 8, 9)월에 개최되며, 가격은 110000원입니다. ",경기 성남시,휘트니스플레이스산성역점,13260,경기도 성남시 수정구 수정로 339,헬스,"헬스장,운동복 이용권",110000,7,"(6, 7, 8, 9)",2024
"경기 성남시에 있는 체육시설의 상세 주소는 경기도 성남시 수정구 수정로171번길 11-1 팀제이맥스성남시의료원점(TEAM J-MAX)으로, 우편번호가 13291이고, 이용 가능한 종목은 헬스입니다. 제공하는 강좌의 강좌명은 1:1PT이며, 강좌는 (1, 6, 7, 8, 9)월에 개최되며, 가격은 110000원입니다. ",경기 성남시,팀제이맥스성남시의료원점(TEAM J-MAX),13291,경기도 성남시 수정구 수정로171번길 11-1,헬스,1:1PT,110000,7,"(1, 6, 7, 8, 9)",2024
"경기 성남시에 있는 체육시설의 상세 주소는 경기도 성남시 수정구 수정로171번길 11-1 팀제이맥스성남시의료원점(TEAM J-MAX)으로, 우편번호가 13291이고, 이용 가능한 종목은 헬스입니다. 제공하는 강좌의 강좌명은 P.스트레칭(재활 및 기능회복)이며, 강좌는 (7, 8, 9)월에 개최되며, 가격은 110000원입니다. ",경기 성남시,팀제이맥스성남시의료원점(TEAM J-MAX),13291,경기도 성남시 수정구 수정로171번길 11-1,헬스,P.스트레칭(재활 및 기능회복),110000,7,"(7, 8, 9)",2024
"경기 성남시에 있는 체육시설의 상세 주소는 경기도 성남시 수정구 수정로171번길 11-1 팀제이맥스성남시의료원점(TEAM J-MAX)으로, 우편번호가 13291이고, 이용 가능한 종목은 헬스입니다. 제공하는 강좌의 강좌명은 자유헬스이며, 강좌는 (1, 4, 7, 8, 9)월에 개최되며, 가격은 110000원입니다. ",경기 성남시,팀제이맥스성남시의료원점(TEAM J-MAX),13291,경기도 성남시 수정구 수정로171번길 11-1,헬스,자유헬스,110000,7,"(1, 4, 7, 8, 9)",2024
"경기 성남시에 있는 체육시설의 상세 주소는 경기도 성남시 수정구 수정북로 111 마인대디체능센터으로, 우편번호가 13281이고, 이용 가능한 종목은 종합체육시설입니다. 제공하는 강좌의 강좌명은 특수체육 및 장애인스포츠팀이며, 강좌는 (7, 8, 9, 10)월에 개최되며, 가격은 110000원입니다. ",경기 성남시,마인대디체능센터,13281,경기도 성남시 수정구 수정북로 111,종합체육시설,특수체육 및 장애인스포츠팀,110000,7,"(7, 8, 9, 10)",2024
"경기 성남시에 있는 체육시설의 상세 주소는 경기도 성남시 수정구 위례광장로 19 내아이발달센터으로, 우편번호가 13646이고, 이용 가능한 종목은 기타종목입니다. 제공하는 강좌의 강좌명은 감각운동이며, 강좌는 (4, 5, 6, 7)월에 개최되며, 가격은 110000원입니다. ",경기 성남시,내아이발달센터,13646,경기도 성남시 수정구 위례광장로 19,기타종목,감각운동,110000,7,"(4, 5, 6, 7)",2024
"경기 성남시에 있는 체육시설의 상세 주소는 경기도 성남시 수정구 위례광장로 19 내아이발달센터으로, 우편번호가 13646이고, 이용 가능한 종목은 기타종목입니다. 제공하는 강좌의 강좌명은 심리운동이며, 강좌는 (6, 7, 8, 9)월에 개최되며, 가격은 110000원입니다. ",경기 성남시,내아이발달센터,13646,경기도 성남시 수정구 위례광장로 19,기타종목,심리운동,110000,7,"(6, 7, 8, 9)",2024
"경기 성남시에 있는 체육시설의 상세 주소는 경기도 성남시 수정구 위례광장로 19 내아이발달센터으로, 우편번호가 13646이고, 이용 가능한 종목은 기타종목입니다. 제공하는 강좌의 강좌명은 특수체육(축구,줄넘기,인라인,학교체육)이며, 강좌는 (1, 2, 3, 4, 5, 6, 7, 8, 9)월에 개최되며, 가격은 110000원입니다. ",경기 성남시,내아이발달센터,13646,경기도 성남시 수정구 위례광장로 19,기타종목,"특수체육(축구,줄넘기,인라인,학교체육)",110000,7,"(1, 2, 3, 4, 5, 6, 7, 8, 9)",2024
"경기 성남시에 있는 체육시설의 상세 주소는 경기도 성남시 수정구 위례광장로 9-9 주식회사 배희으로, 우편번호가 13646이고, 이용 가능한 종목은 볼링입니다. 제공하는 강좌의 강좌명은 볼링공놀이이며, 강좌는 (5, 6, 7, 8, 9)월에 개최되며, 가격은 110000원입니다. ",경기 성남시,주식회사 배희,13646,경기도 성남시 수정구 위례광장로 9-9,볼링,볼링공놀이,110000,7,"(5, 6, 7, 8, 9)",2024
"경기 성남시에 있는 체육시설의 상세 주소는 경기도 성남시 수정구 위례동로 153 룩스필라테스 위례창곡점으로, 우편번호가 13642이고, 이용 가능한 종목은 필라테스입니다. 제공하는 강좌의 강좌명은 필라테스 개인레슨 2회이며, 강좌는 (1, 2, 3, 4, 5, 6, 7, 8, 9)월에 개최되며, 가격은 110000원입니다. ",경기 성남시,룩스필라테스 위례창곡점,13642,경기도 성남시 수정구 위례동로 153,필라테스,필라테스 개인레슨 2회,110000,7,"(1, 2, 3, 4, 5, 6, 7, 8, 9)",2024
"경기 성남시에 있는 체육시설의 상세 주소는 경기도 성남시 수정구 청계산로1길 27 천명태권도장으로, 우편번호가 13105이고, 이용 가능한 종목은 태권도입니다. 제공하는 강좌의 강좌명은 태권도이며, 강좌는 (6, 7, 8)월에 개최되며, 가격은 110000원입니다. ",경기 성남시,천명태권도장,13105,경기도 성남시 수정구 청계산로1길 27,태권도,태권도,110000,7,"(6, 7, 8)",2024
"경기 성남시에 있는 체육시설의 상세 주소는 경기도 성남시 수정구 태평로 4 보텝스태권도장으로, 우편번호가 13306이고, 이용 가능한 종목은 태권도입니다. 제공하는 강좌의 강좌명은 보텝스태권도 운동발달이며, 강좌는 (7, 8)월에 개최되며, 가격은 110000원입니다. ",경기 성남시,보텝스태권도장,13306,경기도 성남시 수정구 태평로 4,태권도,보텝스태권도 운동발달,110000,7,"(7, 8)",2024
"경기 성남시에 있는 체육시설의 상세 주소는 경기도 성남시 중원구 광명로324번길 3 특공무술성남중앙도장으로, 우편번호가 13182이고, 이용 가능한 종목은 기타종목입니다. 제공하는 강좌의 강좌명은 조성한이며, 강좌는 (4, 7)월에 개최되며, 가격은 110000원입니다. ",경기 성남시,특공무술성남중앙도장,13182,경기도 성남시 중원구 광명로324번길 3,기타종목,조성한,110000,7,"(4, 7)",2024
"경기 성남시에 있는 체육시설의 상세 주소는 경기도 성남시 중원구 도촌남로 33 스카이휘트니스으로, 우편번호가 13426이고, 이용 가능한 종목은 헬스입니다. 제공하는 강좌의 강좌명은 헬스 1개월이며, 강좌는 (7, 8, 9)월에 개최되며, 가격은 110000원입니다. ",경기 성남시,스카이휘트니스,13426,경기도 성남시 중원구 도촌남로 33,헬스,헬스 1개월,110000,7,"(7, 8, 9)",2024
"경기 성남시에 있는 체육시설의 상세 주소는 경기도 성남시 중원구 도촌남로 33 스카이휘트니스으로, 우편번호가 13426이고, 이용 가능한 종목은 헬스입니다. 제공하는 강좌의 강좌명은 헬스 1개월이며, 강좌는 (7, 8, 9)월에 개최되며, 가격은 115000원입니다. ",경기 성남시,스카이휘트니스,13426,경기도 성남시 중원구 도촌남로 33,헬스,헬스 1개월,115000,7,"(7, 8, 9)",2024
"경기 성남시에 있는 체육시설의 상세 주소는 경기도 성남시 중원구 도촌남로 33 한국체대 진 태권도으로, 우편번호가 13426이고, 이용 가능한 종목은 태권도입니다. 제공하는 강좌의 강좌명은 태권도(홀수달)이며, 강좌는 (7, 9)월에 개최되며, 가격은 160000원입니다. ",경기 성남시,한국체대 진 태권도,13426,경기도 성남시 중원구 도촌남로 33,태권도,태권도(홀수달),160000,7,"(7, 9)",2024
"경기 성남시에 있는 체육시설의 상세 주소는 경기도 성남시 중원구 둔촌대로425번길 13 최강단대태권도장으로, 우편번호가 13227이고, 이용 가능한 종목은 태권도입니다. 제공하는 강좌의 강좌명은 태권도 수업이며, 강좌는 (6, 7, 8, 9, 10)월에 개최되며, 가격은 110000원입니다. ",경기 성남시,최강단대태권도장,13227,경기도 성남시 중원구 둔촌대로425번길 13,태권도,태권도 수업,110000,7,"(6, 7, 8, 9, 10)",2024
"경기 성남시에 있는 체육시설의 상세 주소는 경기도 성남시 중원구 마지로155번길 25-12 하대원MTA태권도장으로, 우편번호가 13406이고, 이용 가능한 종목은 태권도입니다. 제공하는 강좌의 강좌명은 태권도수업이며, 강좌는 (1, 2, 3, 4, 6, 7)월에 개최되며, 가격은 110000원입니다. ",경기 성남시,하대원MTA태권도장,13406,경기도 성남시 중원구 마지로155번길 25-12,태권도,태권도수업,110000,7,"(1, 2, 3, 4, 6, 7)",2024
"경기 성남시에 있는 체육시설의 상세 주소는 경기도 성남시 중원구 산성대로 340-1 아리아요가 단대오거리지점으로, 우편번호가 13248이고, 이용 가능한 종목은 요가입니다. 제공하는 강좌의 강좌명은 빈야사이며, 강좌는 (1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12)월에 개최되며, 가격은 110000원입니다. ",경기 성남시,아리아요가 단대오거리지점,13248,경기도 성남시 중원구 산성대로 340-1,요가,빈야사,110000,7,"(1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12)",2024
"경기 성남시에 있는 체육시설의 상세 주소는 경기도 성남시 중원구 산성대로 340-1 아리아요가 단대오거리지점으로, 우편번호가 13248이고, 이용 가능한 종목은 요가입니다. 제공하는 강좌의 강좌명은 하타이며, 강좌는 (2, 3, 4, 5, 6, 7, 8, 9)월에 개최되며, 가격은 110000원입니다. ",경기 성남시,아리아요가 단대오거리지점,13248,경기도 성남시 중원구 산성대로 340-1,요가,하타,110000,7,"(2, 3, 4, 5, 6, 7, 8, 9)",2024
"경기 성남시에 있는 체육시설의 상세 주소는 경기도 성남시 중원구 산성대로 340-1 아리아요가 단대오거리지점으로, 우편번호가 13248이고, 이용 가능한 종목은 요가입니다. 제공하는 강좌의 강좌명은 힐링밸런스이며, 강좌는 (4, 5, 6, 7, 8, 9, 10, 11, 12)월에 개최되며, 가격은 110000원입니다. ",경기 성남시,아리아요가 단대오거리지점,13248,경기도 성남시 중원구 산성대로 340-1,요가,힐링밸런스,110000,7,"(4, 5, 6, 7, 8, 9, 10, 11, 12)",2024
"경기 성남시에 있는 체육시설의 상세 주소는 경기도 성남시 중원구 산성대로 520 스포짐휘트니스으로, 우편번호가 13157이고, 이용 가능한 종목은 헬스입니다. 제공하는 강좌의 강좌명은 헬스이며, 강좌는 (1, 2, 3, 4, 5, 6, 7, 8, 9, 10)월에 개최되며, 가격은 110000원입니다. ",경기 성남시,스포짐휘트니스,13157,경기도 성남시 중원구 산성대로 520,헬스,헬스,110000,7,"(1, 2, 3, 4, 5, 6, 7, 8, 9, 10)",2024
"경기 성남시에 있는 체육시설의 상세 주소는 경기도 성남시 중원구 원터로17번길 21 L&S아이랑발달지원센터으로, 우편번호가 13387이고, 이용 가능한 종목은 기타종목입니다. 제공하는 강좌의 강좌명은 I-Sports 토요반(1일)이며, 강좌는 (1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11)월에 개최되며, 가격은 110000원입니다. ",경기 성남시,L&S아이랑발달지원센터,13387,경기도 성남시 중원구 원터로17번길 21,기타종목,I-Sports 토요반(1일),110000,7,"(1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11)",2024
"경기 성남시에 있는 체육시설의 상세 주소는 경기도 성남시 중원구 원터로17번길 21 L&S아이랑발달지원센터으로, 우편번호가 13387이고, 이용 가능한 종목은 기타종목입니다. 제공하는 강좌의 강좌명은 I-Sports 평일반(1일)이며, 강좌는 (1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11)월에 개최되며, 가격은 110000원입니다. ",경기 성남시,L&S아이랑발달지원센터,13387,경기도 성남시 중원구 원터로17번길 21,기타종목,I-Sports 평일반(1일),110000,7,"(1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11)",2024
"경기 성남시에 있는 체육시설의 상세 주소는 경기도 성남시 중원구 은이로5번길 23 송재호태권스쿨으로, 우편번호가 13153이고, 이용 가능한 종목은 태권도입니다. 제공하는 강좌의 강좌명은 태권도MMA킥복싱 개인pt이며, 강좌는 (1, 2, 3, 4, 5, 6, 7, 8, 9, 10)월에 개최되며, 가격은 110000원입니다. ",경기 성남시,송재호태권스쿨,13153,경기도 성남시 중원구 은이로5번길 23,태권도,태권도MMA킥복싱 개인pt,110000,7,"(1, 2, 3, 4, 5, 6, 7, 8, 9, 10)",2024
"경기 성남시에 있는 체육시설의 상세 주소는 경기도 성남시 중원구 희망로 404 삼진볼링타운으로, 우편번호가 13192이고, 이용 가능한 종목은 볼링입니다. 제공하는 강좌의 강좌명은 볼링 기초 강습(자유볼링)이며, 강좌는 (6, 7, 8, 9)월에 개최되며, 가격은 110000원입니다. ",경기 성남시,삼진볼링타운,13192,경기도 성남시 중원구 희망로 404,볼링,볼링 기초 강습(자유볼링),110000,7,"(6, 7, 8, 9)",2024
"경기 수원시에 있는 체육시설의 상세 주소는 경기도 수원시 권선구 곡반정로 160 꿈꾸는 놀이터 아동발달센터으로, 우편번호가 16668이고, 이용 가능한 종목은 기타종목입니다. 제공하는 강좌의 강좌명은 꿈놀맞춤프로그램(특수체육,줄넘기 등)이며, 강좌는 (2, 3, 4, 5, 6, 7, 8)월에 개최되며, 가격은 110000원입니다. ",경기 수원시,꿈꾸는 놀이터 아동발달센터,16668,경기도 수원시 권선구 곡반정로 160,기타종목,"꿈놀맞춤프로그램(특수체육,줄넘기 등)",110000,7,"(2, 3, 4, 5, 6, 7, 8)",2024
"경기 수원시에 있는 체육시설의 상세 주소는 경기도 수원시 권선구 곡선로 42 보니따필라테스 수원곡반점으로, 우편번호가 16671이고, 이용 가능한 종목은 필라테스입니다. 제공하는 강좌의 강좌명은 1:1 기구필라테스이며, 강좌는 (2, 3, 4, 5, 6, 7, 8, 9)월에 개최되며, 가격은 110000원입니다. ",경기 수원시,보니따필라테스 수원곡반점,16671,경기도 수원시 권선구 곡선로 42,필라테스,1:1 기구필라테스,110000,7,"(2, 3, 4, 5, 6, 7, 8, 9)",2024
"경기 수원시에 있는 체육시설의 상세 주소는 경기도 수원시 권선구 권선로639번길 32 용인대엘리트태권도체육관으로, 우편번호가 16569이고, 이용 가능한 종목은 태권도입니다. 제공하는 강좌의 강좌명은 태권도이며, 강좌는 (2, 3, 4, 5, 6, 7, 8)월에 개최되며, 가격은 110000원입니다. ",경기 수원시,용인대엘리트태권도체육관,16569,경기도 수원시 권선구 권선로639번길 32,태권도,태권도,110000,7,"(2, 3, 4, 5, 6, 7, 8)",2024
"경기 수원시에 있는 체육시설의 상세 주소는 경기도 수원시 권선구 금호로 226 굿데이짐으로, 우편번호가 16604이고, 이용 가능한 종목은 헬스입니다. 제공하는 강좌의 강좌명은 헬스1개월이며, 강좌는 (3, 4, 5, 6, 7)월에 개최되며, 가격은 110000원입니다. ",경기 수원시,굿데이짐,16604,경기도 수원시 권선구 금호로 226,헬스,헬스1개월,110000,7,"(3, 4, 5, 6, 7)",2024
"경기 수원시에 있는 체육시설의 상세 주소는 경기도 수원시 권선구 매송고색로 567 예그리나학교으로, 우편번호가 16632이고, 이용 가능한 종목은 댄스(줌바 등)입니다. 제공하는 강좌의 강좌명은 발달장애인 생활댄스프로그램이며, 강좌는 (2, 3, 4, 6, 7, 8, 9)월에 개최되며, 가격은 110000원입니다. ",경기 수원시,예그리나학교,16632,경기도 수원시 권선구 매송고색로 567,댄스(줌바 등),발달장애인 생활댄스프로그램,110000,7,"(2, 3, 4, 6, 7, 8, 9)",2024
"경기 수원시에 있는 체육시설의 상세 주소는 경기도 수원시 권선구 장다리로 67 윤슬아동청소년발달센터으로, 우편번호가 16579이고, 이용 가능한 종목은 기타종목입니다. 제공하는 강좌의 강좌명은 운동이며, 강좌는 (2, 3, 4, 5, 6, 7, 8)월에 개최되며, 가격은 150000원입니다. ",경기 수원시,윤슬아동청소년발달센터,16579,경기도 수원시 권선구 장다리로 67,기타종목,운동,150000,7,"(2, 3, 4, 5, 6, 7, 8)",2024
"경기 수원시에 있는 체육시설의 상세 주소는 경기도 수원시 권선구 호매실로104번길 24-61 퍼스트위너MTA능실태권도장으로, 우편번호가 16630이고, 이용 가능한 종목은 태권도입니다. 제공하는 강좌의 강좌명은 태권도이며, 강좌는 (7)월에 개최되며, 가격은 110000원입니다. ",경기 수원시,퍼스트위너MTA능실태권도장,16630,경기도 수원시 권선구 호매실로104번길 24-61,태권도,태권도,110000,7,-7,2024
"경기 수원시에 있는 체육시설의 상세 주소는 경기도 수원시 권선구 호매실로104번길 90 꿈틀아동발달센터(꿈틀협동조합)으로, 우편번호가 16630이고, 이용 가능한 종목은 기타종목입니다. 제공하는 강좌의 강좌명은 감각통합치료이며, 강좌는 (1, 2, 3, 4, 5, 6, 7, 8, 9)월에 개최되며, 가격은 110000원입니다. ",경기 수원시,꿈틀아동발달센터(꿈틀협동조합),16630,경기도 수원시 권선구 호매실로104번길 90,기타종목,감각통합치료,110000,7,"(1, 2, 3, 4, 5, 6, 7, 8, 9)",2024
"경기 수원시에 있는 체육시설의 상세 주소는 경기도 수원시 영통구 광교중앙로248번길 7-2 우리뜰아동청소년발달센터으로, 우편번호가 16512이고, 이용 가능한 종목은 기타종목입니다. 제공하는 강좌의 강좌명은 감각운동 프로그램이며, 강좌는 (5, 6, 7, 8)월에 개최되며, 가격은 110000원입니다. ",경기 수원시,우리뜰아동청소년발달센터,16512,경기도 수원시 영통구 광교중앙로248번길 7-2,기타종목,감각운동 프로그램,110000,7,"(5, 6, 7, 8)",2024
"경기 수원시에 있는 체육시설의 상세 주소는 경기도 수원시 영통구 도청로18번길 26 (광교) 무브먼트 아카데미으로, 우편번호가 16508이고, 이용 가능한 종목은 기타종목입니다. 제공하는 강좌의 강좌명은 개인레슨이며, 강좌는 (6, 7, 8, 9)월에 개최되며, 가격은 60000원입니다. ",경기 수원시,(광교) 무브먼트 아카데미,16508,경기도 수원시 영통구 도청로18번길 26,기타종목,개인레슨,60000,7,"(6, 7, 8, 9)",2024
"경기 수원시에 있는 체육시설의 상세 주소는 경기도 수원시 영통구 봉영로 1569 하우필라테스으로, 우편번호가 16703이고, 이용 가능한 종목은 필라테스입니다. 제공하는 강좌의 강좌명은 필라테스(개인레슨)이며, 강좌는 (3, 4, 5, 6, 7, 8)월에 개최되며, 가격은 110000원입니다. ",경기 수원시,하우필라테스,16703,경기도 수원시 영통구 봉영로 1569,필라테스,필라테스(개인레슨),110000,7,"(3, 4, 5, 6, 7, 8)",2024
"경기 수원시에 있는 체육시설의 상세 주소는 경기도 수원시 영통구 창룡대로 250 꿈틀그라운드으로, 우편번호가 16229이고, 이용 가능한 종목은 기타종목입니다. 제공하는 강좌의 강좌명은 특수체육(고급)이며, 강좌는 (1, 2, 3, 4, 5, 6, 7, 8)월에 개최되며, 가격은 110000원입니다. ",경기 수원시,꿈틀그라운드,16229,경기도 수원시 영통구 창룡대로 250,기타종목,특수체육(고급),110000,7,"(1, 2, 3, 4, 5, 6, 7, 8)",2024
"경기 수원시에 있는 체육시설의 상세 주소는 경기도 수원시 영통구 창룡대로 255 수원시장애인종합복지관으로, 우편번호가 16227이고, 이용 가능한 종목은 수영입니다. 제공하는 강좌의 강좌명은 발달수영(주2회)이며, 강좌는 (1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12)월에 개최되며, 가격은 35000원입니다. ",경기 수원시,수원시장애인종합복지관,16227,경기도 수원시 영통구 창룡대로 255,수영,발달수영(주2회),35000,7,"(1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12)",2024
